URL,Thumbnail,Title,Name,Address Origin,Address,Number of Bedrooms,Number of Bathrooms,Area,Price
https://rever.vn/mua/can-ho-one-verandah-huong-dong-nam-dien-tich-55m2-1,https://photo.rever.vn/v3/get/Vp62Q0BNifxpy6PnfiWoKuG9kqOvAcwkdmW7YAcVT8s=/750x500/image.jpg,"Căn hộ One Verandah hướng Đông Nam, diện tích 55m²","Căn hộ One Verandah hướng Đông Nam, diện tích 55m²",[object Object],"Tạ Hiện, Quận 2",1,1,55,5.5 tỷ
https://rever.vn/mua/can-ho-chung-cu-my-duc-dien-tich-85m2,https://photo.rever.vn/photo/v3/get/rvWfyxQgbSkDoNp43TD+PTG55uVVaMhkAd4DPA7L767rBtJ6XUSt77KL9Tb1y52oX9FyRfRCLi0uchMUROLSNHIQ==/750x500/image.jpg,"Căn hộ Chung cư Mỹ Đức, diện tích 85m²","Căn hộ Chung cư Mỹ Đức, diện tích 85m²",[object Object],"Xô Viết Nghệ Tĩnh, Bình Thạnh",2,2,85,3.6 tỷ
https://rever.vn/mua/can-ho-copac-square-huong-dong-bac-dien-tich-70-5m2,https://photo.rever.vn/photo/v3/get/rvFvTUVNK9D9+cZ614udHir+NPiHKpS3aBCXns8pPIf+xqdG3Dvxve+SmzmNJlAzu2PZKiBlVbX6NT6Sl3ekBOWA==/750x500/image.jpg,"Căn hộ Copac Square hướng Đông Bắc, diện tích 70.5m²","Căn hộ Copac Square hướng Đông Bắc, diện tích 70.5m²",[object Object],"Tôn Đản, Quận 4",2,2,70.5,3.5 tỷ
https://rever.vn/mua/can-ho-234-phan-van-tri-huong-dong-bac-dien-tich-79m2,https://photo.rever.vn/photo/v3/get/rvoLsiBpiUFI5HsWGVqrL6dOV+j2DcjMeSu+LTy7HIALlD8__PVLoC9kF5Rhftw6C3Kp+4WNAkJIWVe5BVZJCb8w==/750x500/image.jpg,"Căn hộ 234 Phan Văn Trị hướng Đông Bắc, diện tích 79m²","Căn hộ 234 Phan Văn Trị hướng Đông Bắc, diện tích 79m²",[object Object],"Phan Văn Trị, Bình Thạnh",2,1,79,2.3 tỷ
https://rever.vn/mua/can-ho-vinhomes-grand-park-huong-ban-cong-dong-nam-day-du-noi-that-dien-tich-46-7m2,https://photo.rever.vn/v3/get/flBvRukOtMvzDRB9vRKzxpYvq7_nuSPaemkiP8Wm3p4=/750x500/image.jpg,Căn hộ Vinhomes Grand Park hướng ban công đông nam đầy đủ nội thất diện tích 46.7m²,Căn hộ Vinhomes Grand Park hướng ban công đông nam đầy đủ nội thất diện tích 46.7m²,[object Object],"Nguyễn Xiển, Quận 9",1,1,46.7,1.96 tỷ
https://rever.vn/mua/can-ho-vinhomes-grand-park-huong-dong-nam-dien-tich-47m2-5,https://photo.rever.vn/v3/get/rvZicipfuLK_PXhGD+r_kyyT5ptXvqWHrg85vqYyLayq6ErBTMMLA6np68IvE8gOOxEtbohxI2xCEzHZCNTTz95Q==/750x500/image.jpg,"Căn hộ Vinhomes Grand Park hướng Đông Nam, diện tích 47m²","Căn hộ Vinhomes Grand Park hướng Đông Nam, diện tích 47m²",[object Object],"Nguyễn Xiển, Quận 9",1,1,47,2.45 tỷ
https://rever.vn/mua/can-ho-vinhomes-grand-park-huong-ban-cong-tay-nam-noi-that-co-ban-dien-tich-69m2,https://photo.rever.vn/v3/get/rv4Dd0vLjrPp9KdwdLsxnRZAkZIN6EHKmiAIJtpHLK25KoFS6ngvUXs+JteuYH0M8N8Q8wE4bly6NJIbHCWl4EPg==/750x500/image.jpg,Căn hộ Vinhomes Grand Park hướng ban công tây nam nội thất cơ bản diện tích 69m²,Căn hộ Vinhomes Grand Park hướng ban công tây nam nội thất cơ bản diện tích 69m²,[object Object],"Nguyễn Xiển, Quận 9",2,2,69,3.8 tỷ
https://rever.vn/mua/can-ho-vinhomes-grand-park-huong-ban-cong-dong-nam-noi-that-co-ban-dien-tich-85-2m2,https://photo.rever.vn/v3/get/rv5NEi4OQTwuvWJbni1xdlkVLkTGXE+z8xdqPECyvGoW93D7nnm6uY8RtsGeWU8RVvrTqwKYC2FIFy8aAKBgCw3Q==/750x500/image.jpg,Căn hộ Vinhomes Grand Park hướng ban công đông nam nội thất cơ bản diện tích 85.2m².,Căn hộ Vinhomes Grand Park hướng ban công đông nam nội thất cơ bản diện tích 85.2m².,[object Object],"Nguyễn Xiển, Quận 9",2,2,85.2,4.2 tỷ
https://rever.vn/mua/can-ho-galaxy-9-quan-4-ban-cong-rong-rai-view-don-gio-mat,https://photo.rever.vn/v3/get/rvhNJHrIkJf2GcIk5xD2mw+1faBBI1j8KlwyZeGYHUXCcQreLNKREDpXVUtvROTBgc1Ba5Hdq+SulhGOPIUT9sRA==/750x500/image.jpg,"Căn hộ Galaxy 9 quận 4 ban công rộng rãi, view đón gió mát.","Căn hộ Galaxy 9 quận 4 ban công rộng rãi, view đón gió mát.",[object Object],"Nguyễn Khoái, Quận 4",1,1,48,3.4 tỷ
https://rever.vn/mua/can-ho-masteri-lumiere-riverside-3pn-gia-tot-nhat-thi-truong,https://photo.rever.vn/photo/v3/get/rvY4yeRM5r3sPFU6qc9qI5BTNP_gFZI6wyQ61nadtq2kz_4q2rW9Br7rZO0QICbP3LL2ZfdC0lbBUONvOvqbL2BA==/750x500/image.jpg,Căn hộ Masteri Lumiere Riverside 3PN giá tốt nhất thị trường,Căn hộ Masteri Lumiere Riverside 3PN giá tốt nhất thị trường,[object Object],"Xa Lộ Hà Nội, Quận 2",3,3,95.6,10.2 tỷ
https://rever.vn/mua/can-ho-masteri-lumiere-riverside-2-phong-ngu-gia-tot-nhat-thi-truong,https://photo.rever.vn/photo/v3/get/rvnPqS7g57NQh3V64XyVMXj6bf9kFvCtNPBgOrIibwCqhZ8doUt0IcI+BeA7qFEKjuUNVgC7WhnWUDdV8xowS_+g==/750x500/image.jpg,Căn hộ Masteri Lumiere Riverside 2 phòng ngủ giá tốt nhất thị trường,Căn hộ Masteri Lumiere Riverside 2 phòng ngủ giá tốt nhất thị trường,[object Object],"Xa Lộ Hà Nội, Quận 2",2,2,72.6,7.1 tỷ
https://rever.vn/mua/can-ho-the-manor-day-du-noi-that-dien-tich-56-7m2,https://photo.rever.vn/v3/get/rva7LJks1E3Hx4u5S+k5f+ep5oFhoOVyNjMWPJ97pax1O4RiVAn2j5kqu_rs5sLKMTfkbpFtbuiFG6Ow_lYQkekQ==/750x500/image.jpg,Căn hộ The Manor đầy đủ nội thất diện tích 56.7m²,Căn hộ The Manor đầy đủ nội thất diện tích 56.7m²,[object Object],"Nguyễn Hữu Cảnh, Bình Thạnh",1,1,56.7,3.8 tỷ
https://rever.vn/mua/can-ho-4s-riverside-linh-dong-noi-that-co-ban-dien-tich-76-8m2,https://photo.rever.vn/v3/get/rvQz7vgJwmGF0C2orRLI0hWlc0ZifPPsXzspjwUu0H5ISJIzlH9AePi82hOiaUm+umnnnsqOEyb9LMZqzw8Vp6Tw==/750x500/image.jpg,Căn hộ 4S Riverside Linh Đông nội thất cơ bản diện tích 76.8m²,Căn hộ 4S Riverside Linh Đông nội thất cơ bản diện tích 76.8m²,[object Object],"Số 30, Thủ Đức",2,2,76.8,2.5 tỷ
https://rever.vn/mua/can-ho-citialto-noi-that-co-ban-dien-tich-53m2,https://photo.rever.vn/v3/get/rvqkphb0wKZxsdfBIhRXLahkTk+iCxJmfiKAJlYKCu05RSZQBqvQnHDVkpu2fxca44cb1iw0BVHf2Bu2amP_V95w==/750x500/image.jpg,Căn hộ CitiAlto nội thất cơ bản diện tích 53m²,Căn hộ CitiAlto nội thất cơ bản diện tích 53m²,[object Object],"Nguyễn Thị Định, Quận 2",2,2,53,1.9 tỷ
https://rever.vn/mua/can-ho-palm-heights-huong-tay-bac-dien-tich-80-4m2,https://photo.rever.vn/photo/v3/get/rv05zxn4f0MJDbMJbNvPnB0Zous4ufjjdLke4iL8h9riZFLmIXTdg53qo5F1qoWU+fyOfkCl4_HnyIOpkbZh2ZkQ==/750x500/image.jpg,"Căn hộ Palm Heights hướng Tây Bắc, diện tích 80.4m²","Căn hộ Palm Heights hướng Tây Bắc, diện tích 80.4m²",[object Object],"Song Hành Cao Tốc HCM - LT - Dầu Giây, Quận 2",2,2,80.4,4.65 tỷ
https://rever.vn/mua/can-ho-park-legend-view-bitexco-dep-can-ban-nhanh-dien-tich-90m2,https://photo.rever.vn/photo/v3/get/rvRcO1GUhBagFVZaQYTTkpU9zEOPaxOysjT9CiCDfzJSZ+jqvhek19ngegE6E2_PHE_9GOnFmiNKVMepZullp4EQ==/750x500/image.jpg,"Căn hộ Park Legend view bitexco  đẹp cần bán nhanh, diện tích 90m²","Căn hộ Park Legend view bitexco  đẹp cần bán nhanh, diện tích 90m²",[object Object],"Hoàng Văn Thụ, Tân Bình",3,2,90,7 tỷ
https://rever.vn/mua/can-ho-189b-cong-quynh-dien-tich-56m2,https://photo.rever.vn/photo/v3/get/rvkJBW8TzUAG1WyGR2eI8MfSuR0IQNdjVJK6nw28g0vhj1CHiVBiytQIm3keaMDegEnmnlH+AZAPRKWT2BkZb2Uw==/750x500/image.jpg,"Căn hộ 189B Cống Quỳnh, diện tích 56m²","Căn hộ 189B Cống Quỳnh, diện tích 56m²",[object Object],"Cống Quỳnh, Quận 1",2,1,56,3.1 tỷ
https://rever.vn/mua/can-ho-sunrise-cityview-huong-tay-bac-dien-tich-37m2,https://photo.rever.vn/v3/get/rvfqLHLvSfBi+LcDyrp7IleCZRwdljVIX1_b7v7A26dTRSGka06oMzfx1Nj7ZH9KUmNWcvIyGddQOG3ix6rcBizA==/750x500/image.jpg,"Căn hộ Sunrise CityView hướng Tây Bắc, diện tích 37m²","Căn hộ Sunrise CityView hướng Tây Bắc, diện tích 37m²",[object Object],"Nguyễn Hữu Thọ, Quận 7",1,1,37,1.75 tỷ
https://rever.vn/mua/can-ho-vinhomes-central-park-day-du-noi-that-dien-tich-135m2-2,https://photo.rever.vn/v3/get/rvpmnOgrzjeFMjUt3ILvbfp+cyDQe58RL+QKAhL3NOuTmKn9tXz5Tycg1Di1DQRteZ2KlV3si1gDbPbjdj9XVSAQ==/750x500/image.jpg,Căn hộ Vinhomes Central Park đầy đủ nội thất diện tích 135m²,Căn hộ Vinhomes Central Park đầy đủ nội thất diện tích 135m²,[object Object],"Nguyễn Hữu Cảnh, Bình Thạnh",3,2,135,11.5 tỷ
https://rever.vn/mua/can-ho-chung-cu-khanh-hoi-3-huong-tay-bac-dien-tich-81m2,https://photo.rever.vn/v3/get/rvHIhkx6QwmDfRpqCIQq5RCxbmH3IQNtcKjCEwTWZUcYsz4fdur6rYtrdrNL4dPi4BL2ObkDS2WHt8Rf2w7JZysA==/750x500/image.jpg,"Căn hộ Chung cư Khánh Hội 3 hướng Tây Bắc, diện tích 81m²","Căn hộ Chung cư Khánh Hội 3 hướng Tây Bắc, diện tích 81m²",[object Object],"Bến Vân Đồn, Quận 4",2,2,81,3.5 tỷ
https://rever.vn/mua/can-ho-tan-vinh-day-du-noi-that-dien-tich-38m2,https://photo.rever.vn/v3/get/rvYJ_ecA_QzHWdcTrAEULRJh9ADRa6LnFcQfy0IRI1lKt_cJQ46GoGQwcAJRTz5Kk_or5ok5L+BhKH4e9CaFRHhw==/750x500/image.jpg,Căn hộ Tân Vĩnh đầy đủ nội thất diện tích 38m²,Căn hộ Tân Vĩnh đầy đủ nội thất diện tích 38m²,[object Object],"Tân Vĩnh, Quận 4",1,1,38,1.7 tỷ
https://rever.vn/mua/can-ho-estella-heights-day-du-noi-that-dien-tich-103m2-1,https://photo.rever.vn/v3/get/rvL2ZKj2yCX78FY8uQHCLlaCTHaim1FFwE2za_d4zp1rJGtqr6cmJ1ggmotJM1LEMCzXeTE+CiAy4de+5_z1TVMw==/750x500/image.jpg,Căn hộ Estella Heights đầy đủ nội thất diện tích 103m²,Căn hộ Estella Heights đầy đủ nội thất diện tích 103m²,[object Object],"Xa Lộ Hà Nội, Quận 2",2,2,103,9.5 tỷ
https://rever.vn/mua/can-ho-diamond-island-dao-kim-cuong-3-phong-ngu-1-phong-kho,https://photo.rever.vn/photo/v3/get/rvdmiQkAsHapybjqmW6y0BtQ81kHROhT8FBrTaExHLqW48VGNelR1gOtmlNLSNYllCys0zzTSXBaDyErHYi1YEHg==/750x500/image.jpg,Căn hộ Diamond Island - Đảo Kim Cương 3 Phong ngủ + 1 Phòng kho,Căn hộ Diamond Island - Đảo Kim Cương 3 Phong ngủ + 1 Phòng kho,[object Object],"Số 104-BTT, Quận 2",3,2,132,12.5 tỷ
https://rever.vn/mua/can-ho-the-art-huong-dong-bac-dien-tich-70-4m2,https://photo.rever.vn/photo/v3/get/rvbF2czOM859lNh7xlBBCY9vPb+7VNCUnJbMpaqob52MQHA9E8xmz21472ze9IMDXdCq9J4r1HbiXbmgC5NRyWoA==/750x500/image.jpg,"Căn hộ The Art hướng Đông Bắc, diện tích 70.4m²","Căn hộ The Art hướng Đông Bắc, diện tích 70.4m²",[object Object],"Xuân Quỳnh, Quận 9",2,2,70.4,2.8 tỷ
https://rever.vn/mua/can-ho-vinhomes-grand-park-huong-dong-nam-dien-tich-69-5m2,https://photo.rever.vn/v3/get/rv1vgiHKpZDIEza4QqNDbshp2QqSHm3PL_LCV8pnRB9StXdbg0IKGQzhy4A568a5knoW1EuxfJsN6mjzwQS1t4YA==/750x500/image.jpg,"Căn hộ Vinhomes Grand Park hướng Đông Nam, diện tích 69.5m²","Căn hộ Vinhomes Grand Park hướng Đông Nam, diện tích 69.5m²",[object Object],"Nguyễn Xiển, Quận 9",2,2,69.5,3.2 tỷ
https://rever.vn/mua/can-ho-vinhomes-grand-park-huong-dong-nam-5,https://photo.rever.vn/v3/get/rvHMFaAvlUw1akDjUZk9WEiS2lxeMcUIbcmnB+IgTHTMArPk+a+EIeDvRZM2Typr7c8+4pucGrBM8SkKZmxOLRRw==/750x500/image.jpg,Căn hộ  Vinhomes Grand Park hướng Đông Nam,Căn hộ  Vinhomes Grand Park hướng Đông Nam,[object Object],"Nguyễn Xiển, Quận 9",2,2,59,2.7 tỷ
https://rever.vn/mua/can-ho-q7-boulevard-dien-tich-69-95m2,https://photo.rever.vn/v3/get/rvpsqkthGEB2WkSiVLizbckB50T0IQh5ImbPz3EJD_ubBoCy2q8jbnMh7KySfZP08hcVi08Qqna01xycr1Ocrl0Q==/750x500/image.jpg,"Căn hộ Q7 Boulevard, diện tích 69.95m²","Căn hộ Q7 Boulevard, diện tích 69.95m²",[object Object],"Nguyễn Lương Bằng, Quận 7",2,2,69.95,2.86 tỷ
https://rever.vn/mua/can-ho-saigon-asiana-day-du-noi-that-dien-tich-67-5m2,https://photo.rever.vn/v3/get/rvd4QWrw91Mx9aggAbNKIYgI0Yn6+VSRhshki5XSVVtl5V+o2eR6oWhPAdimA9taiQhSnQHALTMZ1iVvajOExsng==/750x500/image.jpg,Căn hộ Saigon Asiana đầy đủ nội thất diện tích 67.5m².,Căn hộ Saigon Asiana đầy đủ nội thất diện tích 67.5m².,[object Object],"Nguyễn Văn Luông, Quận 6",2,2,67.5,3.5 tỷ
https://rever.vn/mua/can-ho-city-gate-dien-tich-73m2-day-du-noi-that,https://photo.rever.vn/v3/get/rvM5EL8Y2sNeJlwjoEQkT76bfrceCAsOs7y46MX_bIGPXqV9yfb5j1WwepsgZYq3xRO+gtgkbcqppC9w69Hc7Rfw==/750x500/image.jpg,"Căn hộ City Gate diện tích 73m2, đầy đủ nội thất.","Căn hộ City Gate diện tích 73m2, đầy đủ nội thất.",[object Object],"Võ Văn Kiệt, Quận 8",2,2,73,2.25 tỷ
https://rever.vn/mua/can-ho-vinhomes-grand-park-huong-tay-nam-1,https://photo.rever.vn/v3/get/rvPLHOD_TbaJjx2eg3r8aTNpb5+eVRpYqNEee3YN8XTIHHDEtAPmiyGx_X6iuw6bBVjEdN7d2o0RHUvpKuaHytxA==/750x500/image.jpg,Căn hộ Vinhomes Grand Park hướng Tây Nam,Căn hộ Vinhomes Grand Park hướng Tây Nam,[object Object],"Nguyễn Xiển, Quận 9",3,2,81.5,4.6 tỷ
https://rever.vn/mua/can-ho-vinhomes-grand-park-huong-ban-cong-dong-bac-8,https://photo.rever.vn/v3/get/rvfZgX0OTMGIOAmqAltzvR+tcl8WzZzPXypkX4We9OoLzyZweBfAFbJZxUDkcRXnuCoXFQ_H9OIg3FfzdvQcpUbw==/750x500/image.jpg,Căn hộ Vinhomes Grand Park hướng ban công đông bắc,Căn hộ Vinhomes Grand Park hướng ban công đông bắc,[object Object],"Nguyễn Xiển, Quận 9",2,1,59.1,2.38 tỷ
https://rever.vn/mua/can-ho-safira-khang-dien-huong-ban-cong-tay-bac-day-du-noi-that-dien-tich-69m2,https://photo.rever.vn/v3/get/rviR65aikjkOfOtVjsbaI3nQMUallk+jKmY6J068wAL+UFGKgoeoof6wSJlfCj19oZC7c_Yb8XRT24v74jLSEjLQ==/750x500/image.jpg,Căn hộ Safira Khang Điền hướng ban công tây bắc đầy đủ nội thất diện tích 69m²,Căn hộ Safira Khang Điền hướng ban công tây bắc đầy đủ nội thất diện tích 69m²,[object Object],"Võ Chí Công, Quận 9",2,2,69,3 tỷ
https://rever.vn/mua/can-ho-vista-verde-huong-dong-nam-dien-tich-56m2,https://photo.rever.vn/photo/v3/get/rvAXN3htHgmK9Zq3PKkxdm0zhGPasSO1kLIZrM09pee07uq1BEo+Ld5x1AOgMcyOqoOjAG9MHEmUTH1UrVaubChQ==/750x500/image.jpg,"Căn hộ Vista Verde hướng Đông Nam, diện tích 56m²","Căn hộ Vista Verde hướng Đông Nam, diện tích 56m²",[object Object],"Đồng Văn Cống, Quận 2",1,1,56,3.8 tỷ
https://rever.vn/mua/can-ho-vista-verde-huong-tay-bac-dien-tich-56m2,https://photo.rever.vn/v3/get/rvwGkk+BBqFJFnFy+jV+r8KW8ezk_4ASvE8Jr1yz0rjpgQsk8VFQ3LFXMo3hV7LTY_jD1Jn7JirEJZ4DLIXuuXvA==/750x500/image.jpg,"Căn hộ Vista Verde hướng Tây Bắc, diện tích 56m²","Căn hộ Vista Verde hướng Tây Bắc, diện tích 56m²",[object Object],"Đồng Văn Cống, Quận 2",1,1,56,3.85 tỷ
https://rever.vn/mua/can-ho-chung-cu-hung-vuong-2-huong-nam-dien-tich-58-2m2,https://photo.rever.vn/photo/v3/get/rvVYb6Sla7SxKEXk89CBFpEYbge7rzQRtd1z0RYMB7ZF1ntnlpa12fVZWEXJnwUGIv7EizkXVUno+qRSFqGGt3WA==/750x500/image.jpg,"Căn hộ Chung cư Hưng Vượng 2 hướng Nam, diện tích 58.2m²","Căn hộ Chung cư Hưng Vượng 2 hướng Nam, diện tích 58.2m²",[object Object],"Nguyễn Văn Linh, Quận 7",2,1,58.2,2.6 tỷ
https://rever.vn/mua/can-ho-chung-cu-hung-vuong-2-huong-bac-dien-tich-58-2m2,https://photo.rever.vn/photo/v3/get/rvzcdXvGu96HhaP1ZNvcN2X1VEJjfVQVfqsOTwHlhZKp+dwrD23vYoVfggjYozMSS7CVm+rL+k4eOBinrn1c1NBA==/750x500/image.jpg,"Căn hộ Chung cư Hưng Vượng 2 hướng Bắc, diện tích 58.2m²","Căn hộ Chung cư Hưng Vượng 2 hướng Bắc, diện tích 58.2m²",[object Object],"Nguyễn Văn Linh, Quận 7",2,2,58.2,2.7 tỷ
https://rever.vn/mua/can-ho-vinhomes-central-park-huong-tay-nam-dien-tich-91m2,https://photo.rever.vn/photo/v3/get/rvOyJi1ooh3Q5Hep18MfH0xJcEE4gRvXgdIgFOKDnuqmfzWxS1tCOHTssCRTiDqiLY9Hob7W7uuvCIMtKuLCsKYQ==/750x500/image.jpg,"Căn hộ Vinhomes Central Park hướng Tây Nam, diện tích 91m²","Căn hộ Vinhomes Central Park hướng Tây Nam, diện tích 91m²",[object Object],"Nguyễn Hữu Cảnh, Bình Thạnh",2,2,91,7.3 tỷ
https://rever.vn/mua/can-ho-ehomes-s-noi-that-co-ban-dien-tich-40m2,https://photo.rever.vn/v3/get/rvx1wbDV1ilNyAFZLKFZuB73XUoFNgCOBGSoftOp6V19S7VxU+141J2M9GJua29qQpg37ktJoARuCxrKWHFuoPsw==/750x500/image.jpg,Căn hộ Ehomes S nội thất cơ bản diện tích 40m²,Căn hộ Ehomes S nội thất cơ bản diện tích 40m²,[object Object],"Đỗ Xuân Hợp, Quận 9",1,1,40,1.1 tỷ
https://rever.vn/mua/can-ho-celadon-city-day-du-noi-that-dien-tich-80m2,https://photo.rever.vn/v3/get/rvMyx5fTAeg8swCJe5kT2JChJDHq6zXfrWN89nr3m0lfpZ0ee2rEoA425_5c7qBPuPb5Kw_11RYOCQ+HNfFFrdTA==/750x500/image.jpg,Căn hộ Celadon City đầy đủ nội thất diện tích 80m²,Căn hộ Celadon City đầy đủ nội thất diện tích 80m²,[object Object],"Đường N1, Tân Phú",2,2,80,3.35 tỷ
https://rever.vn/mua/can-ho-tropic-garden-day-du-noi-that-dien-tich-130m2,https://photo.rever.vn/v3/get/rv8EeRdKYJljRne1XYQsrbIHDs+RdkCS_lgwi3Fc9zYtDusmlYk12lscgB7zXoTVARep0ILIAdE5QK10C3tzuB+w==/750x500/image.jpg,Căn hộ Tropic Garden đầy đủ nội thất diện tích 130m²,Căn hộ Tropic Garden đầy đủ nội thất diện tích 130m²,[object Object],"Số 66, Quận 2",3,2,130,7.9 tỷ
https://rever.vn/mua/can-ho-masteri-lumiere-riverside-dien-tich-76-8m2,https://photo.rever.vn/photo/v3/get/rv4eEtCm2ABLBBso4pHlrH2L89nZe0UisgdwgEv2ukfaTpU+4qFmHlLeqZgTOw2+RNZBgsqC52LcQrYALR3AvkLA==/750x500/image.jpg,"Căn hộ Masteri Lumiere Riverside, diện tích 76.8m²","Căn hộ Masteri Lumiere Riverside, diện tích 76.8m²",[object Object],"Xa Lộ Hà Nội, Quận 2",2,2,76.8,8.8 tỷ
